id_user,date,hours,id_item,price,qty
L17850D,2010/12/01,08:00,85123A,3.0,7
L17850D,2010/12/01,08:00,85123A,3.0,7
L17850D,2010/12/01,08:00,85123A,3.0,10
L17850D,2010/12/01,08:00,85123A,3.0,7
L17850D,2010/12/01,08:00,85123A,3.0,7
L17850D,2010/12/01,08:00,85123A,8.0,4
L17850D,2010/12/01,08:00,85123A,4.0,7
L17850D,2010/12/01,08:00,85123A,2.0,7
L17850D,2010/12/01,08:00,85123A,2.0,7
L13047D,2010/12/01,08:00,85123A,2.0,34
L13047D,2010/12/01,08:00,85123A,2.0,7
L13047D,2010/12/01,08:00,85123A,2.0,7
L13047D,2010/12/01,08:00,85123A,4.0,10
L13047D,2010/12/01,08:00,85123A,2.0,7
L13047D,2010/12/01,08:00,85123A,4.0,7
L13047D,2010/12/01,08:00,85123A,5.0,4
L13047D,2010/12/01,08:00,85123A,10.0,4
L13047D,2010/12/01,08:00,85123A,6.0,4
L13047D,2010/12/01,08:00,85123A,6.0,4
L13047D,2010/12/01,08:00,85123A,8.0,4
L13047D,2010/12/01,08:00,85123A,8.0,4
L13047D,2010/12/01,08:00,85123A,4.0,7
L13047D,2010/12/01,08:00,85123A,5.0,4
L13047D,2010/12/01,08:00,85123A,5.0,4
L13047D,2010/12/01,08:00,85123A,5.0,4
L13047D,2010/12/01,08:00,85123A,6.0,4
L12583D,2010/12/01,08:00,85123A,4.0,25
L12583D,2010/12/01,08:00,85123A,4.0,25
L12583D,2010/12/01,08:00,85123A,4.0,13
L12583D,2010/12/01,08:00,85123A,1.0,13
L12583D,2010/12/01,08:00,85123A,1.0,25
L12583D,2010/12/01,08:00,85123A,1.0,49
L12583D,2010/12/01,08:00,85123A,1.0,25
L12583D,2010/12/01,08:00,85123A,3.0,19
L12583D,2010/12/01,08:00,85123A,3.0,25
L12583D,2010/12/01,08:00,85123A,2.0,25
L12583D,2010/12/01,08:00,85123A,2.0,25
L12583D,2010/12/01,08:00,85123A,2.0,25
L12583D,2010/12/01,08:00,85123A,1.0,22
L12583D,2010/12/01,08:00,85123A,2.0,25
L12583D,2010/12/01,08:00,85123A,3.0,25
L12583D,2010/12/01,08:00,85123A,4.0,13
L12583D,2010/12/01,08:00,85123A,0.0,25
L12583D,2010/12/01,08:00,85123A,0.0,25
L12583D,2010/12/01,08:00,85123A,1.0,37
L12583D,2010/12/01,08:00,85123A,18.0,4
L13748D,2010/12/01,09:00,85123A,3.0,75
L17850D,2010/12/01,09:00,85123A,2.0,7
L17850D,2010/12/01,09:00,85123A,2.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,3.0,10
L17850D,2010/12/01,09:00,85123A,5.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,5.0,4
L17850D,2010/12/01,09:00,85123A,7.0,4
L17850D,2010/12/01,09:00,85123A,2.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,8.0,4
L17850D,2010/12/01,09:00,85123A,4.0,7
L15100D,2010/12/01,09:00,85123A,11.0,34
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,3.0,7
L17850D,2010/12/01,09:00,85123A,3.0,10
L17850D,2010/12/01,09:00,85123A,5.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,1.0,7
L17850D,2010/12/01,09:00,85123A,5.0,4
L17850D,2010/12/01,09:00,85123A,7.0,4
