id_user,date,hours,id_item,price,qty
L17850D,2010/11/25,08:00,85123A,2.55,6
L17850D,2010/12/7,08:00,71053,3.75,6
L17850D,2010/12/1,08:00,84406B,2.95,8
L17850D,2010/11/28,08:00,84029G,3.75,6
L17850D,2010/12/1,08:00,84029E,3.75,6
L17850D,2010/11/24,08:00,22752,8.95,2
L17850D,2010/11/24,08:00,21730,4.95,6
L17850D,2010/12/3,08:00,22633,1.95,6
L17850D,2010/11/26,08:00,22632,1.95,6
L13047D,2010/11/29,08:00,84879,1.95,32
L13047D,2010/11/29,08:00,22745,2.1,6
L13047D,2010/11/27,08:00,22748,2.1,6
L13047D,2010/12/8,08:00,22749,3.75,8
L13047D,2010/12/3,08:00,22310,1.65,6
L13047D,2010/11/25,08:00,84969,4.95,6
L13047D,2010/12/4,08:00,22623,4.95,3
L13047D,2010/11/30,08:00,22622,9.95,2
L13047D,2010/12/5,08:00,21754,6.25,3
L13047D,2010/12/4,08:00,21755,6.25,3
L13047D,2010/11/25,08:00,21777,8.95,4
L13047D,2010/11/27,08:00,48187,8.95,4
L13047D,2010/11/29,08:00,22960,4.95,6
L13047D,2010/12/6,08:00,22913,4.95,3
L13047D,2010/11/29,08:00,22912,4.95,3
L13047D,2010/11/25,08:00,22914,4.95,3
L13047D,2010/12/4,08:00,21756,6.25,3
L12583D,2010/12/6,08:00,22728,3.75,24
L12583D,2010/12/3,08:00,22727,3.75,24
L12583D,2010/12/8,08:00,22726,3.75,12
L12583D,2010/12/1,08:00,21724,0.85,12
L12583D,2010/12/1,08:00,21883,0.65,24
L12583D,2010/11/25,08:00,10002,0.85,48
L12583D,2010/12/6,08:00,21791,1.25,24
L12583D,2010/11/27,08:00,21035,2.95,18
L12583D,2010/12/8,08:00,22326,2.95,24
L12583D,2010/12/7,08:00,22629,1.95,24
L12583D,2010/11/24,08:00,22659,1.95,24
L12583D,2010/11/29,08:00,22631,1.95,24
L12583D,2010/12/4,08:00,22661,0.85,20
L12583D,2010/12/5,08:00,21731,1.65,24
L12583D,2010/12/2,08:00,22900,2.95,24
L12583D,2010/12/6,08:00,21913,3.75,12
L12583D,2010/12/8,08:00,22540,0.42,24
L12583D,2010/12/5,08:00,22544,0.42,24
L12583D,2010/12/3,08:00,22492,0.65,36
L12583D,2010/11/24,08:00,POST,125.0,3
L13748D,2010/11/24,09:00,22086,2.55,80
L17850D,2010/12/2,09:00,22632,1.95,6
L17850D,2010/11/25,09:00,22633,1.95,6
L17850D,2010/11/25,09:00,85123A,2.55,6
L17850D,2010/12/3,09:00,71053,3.75,6
L17850D,2010/11/30,09:00,84406B,2.95,8
L17850D,2010/11/26,09:00,20679,4.95,6
L17850D,2010/12/6,09:00,37370,1.25,6
L17850D,2010/11/26,09:00,21871,1.25,6
L17850D,2010/12/1,09:00,21071,1.25,6
L17850D,2010/12/6,09:00,21068,1.25,6
L17850D,2010/12/6,09:00,82483,4.95,2
L17850D,2010/11/25,09:00,82486,8.95,4
L17850D,2010/12/5,09:00,82482,2.1,6
L17850D,2010/11/27,09:00,82494L,2.55,6
L17850D,2010/12/2,09:00,84029G,3.75,6
L17850D,2010/12/3,09:00,84029E,3.75,6
L17850D,2010/11/26,09:00,22752,8.95,2
L17850D,2010/12/6,09:00,21730,4.95,6
L15100D,2010/11/29,09:00,21258,11.95,32
L17850D,2010/12/8,09:00,85123A,2.55,6
L17850D,2010/11/24,09:00,71053,3.75,6
L17850D,2010/12/2,09:00,84406B,2.95,8
L17850D,2010/11/25,09:00,20679,4.95,6
L17850D,2010/12/1,09:00,37370,1.25,6
L17850D,2010/12/2,09:00,21871,1.25,6
L17850D,2010/12/4,09:00,21071,1.25,6
L17850D,2010/11/24,09:00,21068,1.25,6
L17850D,2010/11/28,09:00,82483,4.95,2
L17850D,2010/12/1,09:00,82486,8.95,4
L17850D,2010/11/28,09:00,82482,2.1,6
L17850D,2010/11/29,09:00,82494L,2.55,6
L17850D,2010/12/4,09:00,84029G,3.75,6
L17850D,2010/11/30,09:00,84029E,3.75,6
L17850D,2010/11/27,09:00,22752,8.95,2
L17850D,2010/11/24,09:00,21730,4.95,6
L15291D,2010/11/29,09:00,22114,3.75,48
L15291D,2010/11/28,09:00,21733,2.55,64
L17850D,2010/12/5,09:00,22632,1.95,6
L17850D,2010/12/1,09:00,22633,1.95,6
L14688D,2010/11/29,09:00,22386,1.95,10
L14688D,2010/11/30,09:00,85099C,1.95,10
L14688D,2010/12/1,09:00,21033,2.95,10
L14688D,2010/11/28,09:00,20723,0.85,10
L14688D,2010/12/5,09:00,84997B,3.75,12
L14688D,2010/12/7,09:00,84997C,3.75,6
L14688D,2010/12/5,09:00,21094,0.85,12
L14688D,2010/12/2,09:00,20725,1.65,10
L14688D,2010/12/7,09:00,21559,2.55,6
L14688D,2010/12/8,09:00,22352,2.55,6
L14688D,2010/12/1,09:00,21212,0.42,120
L14688D,2010/12/2,09:00,21975,0.65,24
L14688D,2010/12/6,09:00,21977,0.65,24
L14688D,2010/11/24,09:00,84991,0.65,24
L14688D,2010/11/29,09:00,84519A,2.95,6
L14688D,2010/12/4,09:00,85183B,1.25,48
L14688D,2010/12/4,09:00,85071B,0.42,96
L14688D,2010/12/4,09:00,21931,1.95,10
L14688D,2010/11/27,09:00,21929,1.95,10
L17809D,2010/11/30,09:00,22961,1.65,24
L16098D,2010/11/27,09:00,10002,0.85,12
L16098D,2010/11/25,09:00,21912,3.75,8
L16098D,2010/12/5,09:00,21832,1.65,12
L16098D,2010/12/8,09:00,22411,1.95,10
